id,sex,semestre,carrera,tipo_colegio,pps_actual_20,pps_anterior_20,horas_de_estudio_semana,horas_trabajo_semana,horas_deporte,horas_cultura,horas_extracurriculares,horas_sueno,estres,apoyo_social,autoeficacia_academica,entregas_tarea_puntual,ingresos_mensual_cat,ingresos_mensual,tipo_financiamiento,costo_servicio_mensual_cat,horas_pantalla_no_academica,deuda_academica_flag,deuda_academica_months,puntualidad_pago,indice_financiero,rendimiento,asistencia_total_pct,indice_procrastinacion,alimentacion,phc_score,tiene_hijos,desercion
1260,F,2,Negocios,Publico,12.78,13.98,7.91,40.47283822285566,10.535546710270376,13.16643077886348,27.152568910034322,17.16,5.25,13.52,48.53,76.1,Bajo,600,Beca_total,Bajo,22.543253795953202,1,1,Impuntual,1.6,63.02,28.75,27.77,7.0,41.87,1,1
1261,M,1,Salud,Publico,12.84,12.24,14.5,42.983054896471586,72.60116766182969,39.7921428305391,80.0,6.28,49.32,43.05,42.43,63.22,Medio,1200,Beca_parcial,Muy_bajo,5.716255952237087,0,0,Puntual,63.43,52.15,0.0,41.98,7.0,75.41,0,1
1262,F,6,Negocios,Publico,8.11,10.55,10.07,26.892403528164543,51.94978828733815,47.90658512276005,80.0,5.31,29.98,93.84,49.7,77.35,Medio,1200,Financiamiento_familiar,Bajo,5.923033469935132,0,0,Puntual,66.86,53.83,37.0,51.63,7.0,0.0,0,1
1263,M,1,Ciencias,Concertado,18.34,18.93,16.81,78.06750904283567,23.237435450843442,74.43756191808149,80.0,19.83,30.18,32.63,50.78,76.83,Bajo,600,Financiamiento_familiar,Muy_bajo,14.254263670356844,1,1,Impuntual,4.18,85.91,63.11,28.04,7.0,42.0,1,1
1264,M,8,Artes,Publico,8.88,8.95,9.32,44.55689682451666,20.647557107447014,41.31386692374878,62.452642909315344,9.37,25.63,15.42,41.47,63.6,Medio,1200,Financiamiento_familiar,Bajo,8.866273526860812,0,0,Puntual,70.73,62.86,82.46,44.75,7.0,62.34,0,1
1265,M,6,Ciencias_Sociales,Concertado,17.31,17.43,15.97,71.12084151321903,47.17785235069836,27.252955519733845,79.1910646148412,13.81,35.22,14.61,47.6,63.95,Bajo,600,Financiamiento_familiar,Bajo,8.125229983043683,1,1,Impuntual,5.22,78.6,58.31,41.24,7.0,57.12,0,1
1266,M,3,Negocios,Privado,16.54,15.76,9.37,45.606824761729584,55.77779023611985,23.371096329927123,79.48374507251758,13.24,3.5,34.37,51.1,74.14,Bajo,600,Pago_directo,Bajo,10.52478085338204,1,1,Impuntual,3.24,69.8,19.22,33.87,7.0,30.45,0,1
1267,M,8,Ciencias,Concertado,11.48,10.59,10.04,15.193268237732891,20.2406855155212,17.28792892665796,39.17281047193223,14.04,0.0,22.52,45.69,67.09,Bajo,600,Financiamiento_familiar,Bajo,20.870788868760847,0,0,Puntual,53.76,75.04,100.0,46.2,7.0,80.2,0,0
1268,M,1,Artes,Publico,4.26,6.61,6.6,77.96980316815359,27.77302807377941,76.98941681428069,80.0,1.67,100.0,42.69,47.07,46.58,Bajo,600,Financiamiento_familiar,Muy_bajo,21.5177244825497,0,0,Puntual,64.87,27.0,0.0,66.67,7.0,43.71,0,1
1269,F,2,Negocios,Privado,12.09,13.95,7.2,70.82680083592382,23.24898576639064,48.23506558304304,73.47582525215151,7.26,50.54,71.89,40.21,71.97,Muy_bajo,300,Credito,Bajo,17.04788823518154,1,2,Impuntual,0.0,57.22,19.92,53.35,7.0,82.39,1,1
1270,M,4,Ciencias_Sociales,Publico,15.8,14.72,16.8,37.70189427501384,7.016666478868361,24.28186286714885,35.72653620199603,1.6,60.96,88.82,64.5,75.27,Medio,1200,Beca_parcial,Bajo,14.112955764784866,0,0,Puntual,69.96,73.36,34.37,12.89,7.0,43.16,0,1
1271,F,2,Salud,Publico,6.36,8.5,4.02,19.444631344585154,30.922275233722925,59.60907097999172,80.0,11.52,21.77,11.02,34.4,54.82,Muy_bajo,300,Financiamiento_familiar,Muy_bajo,1.262633547753321,1,1,Impuntual,12.9,44.49,45.77,44.38,7.0,26.79,0,1
1272,F,7,Negocios,Publico,9.5,7.41,2.19,17.813569301188075,42.688893941594515,23.141993000933336,66.16457203548521,21.65,0.0,76.84,34.38,57.84,Muy_bajo,300,Credito,Bajo,14.699126383778367,1,1,Impuntual,5.84,43.53,7.54,56.83,5.97,85.37,0,0
1273,F,1,Ciencias,Concertado,17.22,16.16,14.94,64.48163417330049,52.429300346749564,40.307019095786515,80.0,9.34,45.06,10.35,45.1,81.28,Bajo,600,Financiamiento_familiar,Bajo,23.218294469886093,1,1,Impuntual,3.92,80.63,50.98,16.01,7.0,78.97,0,1
1274,M,4,Artes,Publico,13.13,15.21,10.38,5.529488916100753,33.33893483919575,2.0781016677615582,40.277299029618575,18.78,0.0,37.94,42.1,62.22,Muy_bajo,300,Credito,Bajo,21.063268876565736,0,0,Puntual,53.5,69.69,68.39,48.37,6.47,26.17,0,0
1275,F,4,Negocios,Publico,6.63,4.44,5.12,51.04483051308391,78.6696094743697,67.72562533524498,80.0,6.89,35.31,94.65,52.12,63.24,Bajo,600,Pago_directo,Bajo,4.604947439137597,0,0,Puntual,64.05,45.87,33.08,56.95,7.0,12.63,0,1
1276,M,4,Ingenieria,Publico,10.45,12.58,7.78,51.210793883346824,50.06701541214947,76.5241587279547,80.0,20.55,0.0,1.87,28.08,62.54,Bajo,600,Pago_directo,Bajo,24.0,0,0,Puntual,60.5,44.57,0.0,61.04,7.0,88.88,0,1
1277,M,2,Ciencias_Sociales,Publico,9.18,8.46,9.45,14.596363818064706,70.9267646856978,69.26042700165428,80.0,10.07,14.42,2.29,35.55,68.33,Medio,1200,Credito,Bajo,6.059088947609411,0,0,Puntual,75.33,62.94,77.4,42.99,7.0,29.36,0,1
1278,Other,3,Artes,Concertado,11.11,9.51,10.66,56.39298947477304,73.27902101148419,13.689097742060818,80.0,8.53,40.57,28.36,47.68,77.41,Alto,3000,Pago_directo,Bajo,3.9415691860077944,0,0,Puntual,91.91,72.47,82.29,48.5,7.0,54.76,0,1
1279,M,6,Ingenieria,Privado,20.0,18.31,14.78,56.43250313563848,65.71194911610317,66.02170930061354,80.0,16.74,33.43,90.11,64.62,83.5,Medio,1200,Pago_directo,Bajo,7.3480826442566585,1,6,Impuntual,16.8,84.13,27.17,20.68,7.0,7.37,0,0
1280,F,2,Artes,Concertado,11.81,11.38,7.1,28.002469395310694,21.598846586195258,27.760563930518842,49.503971949404566,12.31,0.97,0.0,33.01,89.11,Muy_bajo,300,Pago_directo,Bajo,3.934203733941991,1,3,Impuntual,0.0,59.98,19.51,27.34,6.72,5.63,0,1
1281,F,6,Ciencias_Sociales,Publico,13.15,14.16,12.18,38.67007301735933,34.50216859049838,74.90253495267714,80.0,8.1,41.78,22.27,58.18,88.81,Alto,3000,Credito,Bajo,5.891726448912295,0,0,Impuntual,88.74,83.66,91.07,24.97,7.0,0.0,0,0
1282,F,4,Negocios,Publico,16.56,17.29,15.03,66.6210840919195,0.03081205979085233,23.926231771516644,26.900835795118084,1.39,89.95,55.32,51.69,74.04,Bajo,600,Pago_directo,Muy_bajo,7.720118348560877,0,0,Puntual,54.4,65.81,2.92,15.44,7.0,22.22,0,1
1283,F,5,Negocios,Privado,19.25,18.35,15.19,41.85226187737962,36.11255089221323,7.15206327599561,45.437129558525555,4.0,50.73,23.38,42.45,73.46,Bajo,600,Credito,Bajo,14.77414030182597,0,0,Puntual,65.97,81.86,44.51,29.77,7.0,49.48,0,1
1284,M,5,Salud,Publico,12.18,11.82,4.58,49.45256807879808,23.500216444562056,68.23363833397426,80.0,18.54,11.05,5.38,30.91,64.54,Bajo,600,Financiamiento_familiar,Muy_bajo,15.740717176801445,1,1,Puntual,23.83,64.01,57.32,50.49,7.0,15.88,0,0
1285,M,2,Ciencias_Sociales,Privado,13.67,12.45,6.3,33.021572038902235,8.951686106462518,9.331722125181674,22.78059239673855,22.1,0.0,0.24,25.35,62.34,Bajo,600,Pago_directo,Bajo,13.915154440332426,0,0,Puntual,67.96,52.29,0.0,54.43,7.0,48.58,0,1
1286,F,4,Negocios,Publico,12.12,11.66,10.71,11.967927133192164,67.08702816186411,43.31480663056071,80.0,4.05,13.04,50.92,42.62,64.43,Medio,1200,Pago_directo,Bajo,7.683230882008376,0,0,Puntual,61.83,71.63,83.85,26.36,7.0,0.0,0,0
1287,M,6,Ciencias,Privado,20.0,18.47,15.94,79.84533053072727,53.87574927840476,30.075831655104874,80.0,13.67,53.7,56.19,60.37,85.64,Bajo,600,Credito,Bajo,23.27951851386015,1,1,Impuntual,5.98,90.6,52.59,19.89,7.0,88.05,0,0
1288,M,3,Artes,Publico,14.95,16.25,14.23,42.52292162260859,79.92828334342687,60.54833787711894,80.0,0.82,75.45,65.65,61.25,76.01,Bajo,600,Pago_directo,Muy_bajo,8.049629687879921,0,0,Impuntual,32.64,80.11,70.44,46.32,7.0,25.74,0,0
1289,M,8,Ingenieria,Publico,12.62,12.06,10.51,26.915716913640864,39.871075392701066,59.911963458027266,80.0,6.98,42.96,13.17,40.66,69.65,Muy_bajo,300,Financiamiento_familiar,Bajo,10.50754409324772,0,0,Puntual,51.49,57.83,19.21,44.14,5.62,92.83,0,1
1290,M,3,Ingenieria,Concertado,20.0,19.27,17.71,57.10298607945071,26.456490877670138,62.09100028372366,80.0,10.77,60.69,49.99,57.62,100.0,Medio,1200,Credito,Bajo,10.320441380147768,0,0,Puntual,70.42,85.88,20.46,9.3,7.0,35.46,0,0
1291,M,1,Ciencias_Sociales,Concertado,8.11,8.73,7.9,49.66574133292017,21.10491160957207,5.0625704993491105,30.135730974973796,17.66,15.76,60.09,52.48,64.13,Medio,1200,Financiamiento_familiar,Bajo,1.7330373502708836,0,0,Impuntual,59.41,63.9,89.37,59.71,7.0,28.63,1,1
1292,M,3,Ciencias_Sociales,Publico,15.36,14.17,15.16,18.632662423948474,34.828887754956114,68.67002728966574,80.0,1.06,50.88,17.24,39.88,85.57,Bajo,600,Pago_directo,Muy_bajo,11.048747702813424,1,1,Impuntual,6.35,73.65,39.46,37.9,7.0,0.0,0,1
1293,F,8,Negocios,Concertado,20.0,19.56,14.73,70.15403995180426,24.78977428627921,37.306380704747575,65.99523166524227,18.75,30.08,49.73,56.0,86.01,Medio,1200,Pago_directo,Bajo,8.539322327679674,1,2,Puntual,35.01,77.1,0.0,20.95,7.0,0.0,0,0
1294,F,2,Ciencias,Concertado,16.09,14.01,16.34,5.672234953698947,79.26068428656444,17.534735253544742,80.0,4.86,5.67,65.82,55.5,97.09,Medio,1200,Pago_directo,Muy_bajo,2.1101335721154717,1,1,Impuntual,22.83,80.93,43.53,20.66,7.0,33.37,0,0
1295,F,6,Ciencias_Sociales,Publico,18.71,16.9,17.78,48.45586014687227,14.623514036033534,23.911665151604595,40.47260466260709,18.23,7.64,99.08,62.47,73.59,Bajo,600,Beca_total,Muy_bajo,20.070238900861852,0,0,Puntual,56.53,79.97,34.21,30.14,7.0,22.84,0,0
1296,M,7,Ciencias_Sociales,Publico,12.18,12.29,8.92,38.23107931826671,1.5303755955606402,72.21938502773084,74.17078371486237,15.01,11.97,59.64,45.92,78.54,Medio,1200,Beca_parcial,Bajo,18.008651006172542,0,0,Puntual,66.38,75.25,82.31,46.37,7.0,0.62,0,0
1297,M,2,Ciencias_Sociales,Publico,3.51,6.0,3.52,25.45587310282576,10.399959512061763,0.47945122352330394,13.891169324649624,8.15,9.93,86.12,43.82,54.91,Bajo,600,Beca_total,Bajo,8.120202745520935,1,1,Impuntual,19.21,32.45,22.28,65.87,7.0,4.54,0,1
1298,M,1,Ciencias,Publico,15.7,15.99,8.3,66.11041026081936,71.32258613791815,64.13776865685588,80.0,17.37,32.31,83.37,51.15,76.8,Muy_bajo,300,Beca_parcial,Muy_bajo,7.042742440348763,0,0,Puntual,49.34,79.69,64.49,39.41,5.41,51.37,0,0
1299,F,5,Salud,Concertado,13.81,13.59,15.37,52.502165943141044,55.51354074315906,73.9143664489843,80.0,5.67,49.83,94.03,70.84,80.56,Medio,1200,Credito,Muy_bajo,22.39953464287538,0,0,Impuntual,42.48,62.85,4.42,34.31,7.0,12.12,0,1
1300,F,2,Negocios,Publico,17.56,16.22,15.05,60.759959750206036,62.7177768451579,20.0043757163769,80.0,5.27,61.63,72.31,47.66,65.82,Bajo,600,Credito,Bajo,5.263475236056754,0,0,Puntual,68.12,75.59,41.88,36.21,7.0,71.59,0,1
1301,M,6,Salud,Publico,5.18,4.52,6.05,33.1726994115617,25.637725359915162,65.76020159402991,80.0,1.48,49.57,21.31,43.5,62.35,Bajo,600,Beca_parcial,Bajo,21.997833726890764,1,3,Impuntual,12.67,41.48,34.37,51.46,7.0,0.0,0,1
1302,F,3,Artes,Publico,7.12,8.59,0.85,75.39186650452083,49.81628467072308,12.887195024590046,63.75644614684476,9.43,60.82,24.81,27.23,69.34,Medio,1200,Pago_directo,Bajo,2.695113441790718,0,0,Puntual,72.88,40.5,10.57,41.38,7.0,0.0,0,1
1303,M,3,Salud,Publico,13.52,13.34,9.18,27.57787381752,56.63189094359354,1.2980172833656134,58.79225121829309,2.34,52.8,78.47,50.66,83.32,Muy_bajo,300,Financiamiento_familiar,Bajo,20.94780305442625,1,2,Impuntual,8.96,78.41,74.85,39.93,7.0,89.7,0,0
1304,F,5,Ciencias_Sociales,Publico,10.0,10.94,8.53,42.48359395645166,26.113288974764526,48.36594650644706,77.9571361815079,10.07,31.66,47.08,41.14,63.1,Bajo,600,Pago_directo,Bajo,13.763442388955358,0,0,Puntual,58.09,58.04,52.58,38.19,7.0,0.0,0,1
1305,F,3,Artes,Publico,2.5,1.66,1.54,74.69200894492471,57.96221528742842,51.69622210240463,80.0,0.24,100.0,25.13,38.68,46.12,Muy_bajo,300,Credito,Bajo,20.159218492404655,0,0,Puntual,55.41,40.05,73.6,76.93,6.72,81.5,0,1
1306,F,3,Artes,Publico,14.62,13.11,14.31,6.6551166308487275,50.372697263909444,12.011384570871924,66.94471367110022,3.72,29.16,65.67,60.6,74.12,Muy_bajo,300,Financiamiento_familiar,Bajo,2.8878946092235234,1,2,Impuntual,10.21,71.81,42.66,32.87,5.84,83.54,0,0
1307,F,3,Ciencias_Sociales,Privado,11.36,11.51,5.1,8.704834973356617,23.698800024009728,40.99740352434956,66.36746995672559,22.38,0.0,90.65,47.8,65.53,Bajo,600,Credito,Bajo,11.045251543559566,0,0,Puntual,61.14,52.73,12.67,48.22,7.0,85.68,0,1
1308,F,3,Ingenieria,Publico,14.52,13.79,11.62,79.5350213058774,4.228470814380607,30.839332518791302,36.077808205783136,19.09,23.26,35.77,57.19,84.82,Alto,3000,Financiamiento_familiar,Muy_bajo,11.57661975382537,0,0,Puntual,100.0,64.92,6.8,38.43,7.0,4.48,0,0
1309,M,4,Salud,Concertado,3.52,1.58,1.83,77.71129255645279,19.029185752617543,6.100651111153681,27.273984945435707,5.67,84.79,59.62,40.32,48.93,Bajo,600,Financiamiento_familiar,Bajo,13.83718650661022,1,1,Impuntual,18.96,36.59,46.1,73.48,7.0,53.38,1,1
1310,F,6,Salud,Publico,18.64,17.86,15.49,61.7361284669709,49.56289447411909,40.61938265966358,80.0,17.24,36.08,58.15,64.39,67.17,Medio,1200,Financiamiento_familiar,Muy_bajo,15.798634288425008,1,3,Impuntual,18.17,83.94,56.42,36.57,7.0,18.63,0,1
1311,M,3,Artes,Publico,15.29,14.86,13.31,38.73506208569318,47.922452582100455,46.81092659772648,80.0,16.04,5.32,7.7,50.9,78.2,Muy_bajo,300,Pago_directo,Bajo,9.97763309101947,1,1,Impuntual,1.17,77.71,59.38,31.61,7.0,92.67,0,1
1312,F,4,Ciencias,Publico,9.45,10.62,6.99,40.48486789091545,40.611932105193524,17.37376467250929,62.57372862734258,4.25,54.88,4.02,25.67,46.16,Medio,1200,Pago_directo,Bajo,12.016865308490665,0,0,Puntual,62.13,53.71,63.93,63.92,7.0,55.18,0,1
1313,F,5,Ingenieria,Publico,13.03,12.64,11.33,20.57702988299485,20.118008121870126,59.182371245124166,80.0,8.91,14.71,88.94,54.51,61.68,Alto,3000,Financiamiento_familiar,Bajo,10.022373386588743,0,0,Puntual,91.92,56.25,11.23,56.8,7.0,27.06,1,1
1314,F,2,Ciencias_Sociales,Privado,11.27,13.36,3.37,34.618482890825995,35.56293940411241,5.808115578707493,43.43353075717591,21.93,0.0,93.35,57.75,65.33,Bajo,600,Credito,Bajo,17.65770146994589,0,0,Impuntual,38.8,55.4,20.48,44.5,7.0,26.34,0,1
1315,M,2,Ciencias_Sociales,Privado,20.0,20.0,17.74,34.50795022930659,11.523500258365944,44.07961460180797,57.82807880030032,17.73,3.81,85.42,58.3,85.2,Medio,1200,Pago_directo,Bajo,22.27806177279104,0,0,Puntual,66.26,91.57,57.75,23.81,7.0,12.12,0,0
1316,F,7,Salud,Concertado,16.25,18.15,14.33,2.887201514139095,52.99063568568326,24.271217175718817,80.0,18.25,0.0,34.67,53.38,79.9,Alto,3000,Pago_directo,Muy_bajo,3.8009076652456963,0,0,Impuntual,80.37,78.77,51.32,52.86,7.0,10.74,0,0
1317,F,5,Salud,Concertado,15.07,13.56,14.2,36.25265664269356,69.53280372614412,34.88584596428745,80.0,13.53,8.44,28.76,43.57,85.96,Bajo,600,Financiamiento_familiar,Muy_bajo,7.621826630237564,0,0,Puntual,51.12,75.62,48.39,36.08,7.0,0.0,0,0
1318,F,4,Negocios,Publico,7.81,9.42,2.76,38.38355268139737,37.09487189621615,71.47788276150732,80.0,15.97,1.99,89.22,44.45,54.77,Bajo,600,Pago_directo,Bajo,6.319965545367046,0,0,Puntual,63.64,40.52,11.43,52.3,7.0,32.89,0,1
1319,M,4,Ciencias_Sociales,Publico,5.61,3.53,0.32,53.26265393838902,17.039803726171172,53.596340112966764,74.47979192976565,12.21,28.81,88.28,35.77,55.39,Medio,1200,Beca_total,Muy_bajo,23.489575766201945,0,0,Puntual,60.08,42.75,45.21,47.24,7.0,35.2,0,0
1320,M,1,Artes,Privado,15.11,16.26,10.54,41.3162330710142,66.23090329147647,11.910287298722588,80.0,17.78,0.0,81.98,51.31,88.31,Medio,1200,Beca_total,Bajo,14.995413362206966,1,1,Impuntual,10.22,71.86,27.49,36.41,7.0,57.02,0,0
1321,M,4,Ciencias,Concertado,9.23,8.39,2.59,68.93463459001622,25.046353968969186,70.90448178701807,80.0,17.59,20.82,33.42,40.76,54.59,Muy_bajo,300,Beca_parcial,Muy_bajo,4.641030155970384,0,0,Puntual,46.99,56.01,60.83,60.58,6.56,52.67,0,0
1322,M,3,Ciencias,Concertado,16.75,15.75,14.05,29.404946019345893,47.51741057820986,29.826679149123542,78.31735122557686,0.75,57.77,63.87,49.88,74.02,Bajo,600,Beca_parcial,Bajo,9.875452652743517,1,12,Puntual,20.51,79.95,58.32,16.26,7.0,30.0,0,0
1323,F,4,Ciencias,Publico,15.29,16.09,7.49,32.77740729644818,6.033722057605617,27.302762107528793,37.29535215989643,15.16,12.86,75.04,48.43,78.76,Bajo,600,Financiamiento_familiar,Bajo,11.965626539954062,0,0,Puntual,55.79,86.36,94.4,29.85,7.0,0.0,0,0
1324,M,2,Negocios,Publico,10.77,8.61,6.09,45.71860109248596,57.43499553837068,40.1229137696894,80.0,15.12,21.94,57.62,50.87,65.48,Bajo,600,Beca_parcial,Muy_bajo,15.536399515493335,0,0,Puntual,67.14,60.66,49.11,29.24,7.0,61.84,1,1
1325,Other,1,Ciencias,Privado,7.43,9.7,1.33,16.21781796090236,36.85373639446765,16.423519457375548,56.70303152120568,1.62,49.39,55.2,49.17,65.61,Medio,1200,Pago_directo,Bajo,6.094411019298253,0,0,Puntual,63.0,40.21,1.25,46.37,7.0,58.78,0,1
1326,M,2,Ciencias_Sociales,Publico,20.0,18.67,17.93,31.479846846577555,33.86788976987128,73.13887882990313,80.0,9.85,25.04,75.67,59.38,97.96,Bajo,600,Financiamiento_familiar,Bajo,12.349719086429339,1,3,Puntual,36.55,86.21,23.1,15.05,7.0,76.42,0,1
1327,M,8,Ciencias_Sociales,Publico,15.94,17.52,17.21,54.89339774026622,74.78691761288408,37.431122313890654,80.0,21.57,0.0,76.68,51.84,66.75,Bajo,600,Credito,Muy_bajo,20.09745293698767,0,0,Puntual,61.1,66.49,19.05,43.06,7.0,10.81,1,1
1328,F,3,Ingenieria,Publico,9.93,10.83,2.37,32.94469914198433,39.319163439344074,31.50581598200062,72.75201016774221,22.88,0.0,23.99,31.18,63.19,Medio,1200,Beca_total,Bajo,16.702570493036827,0,0,Puntual,62.61,43.74,0.0,43.15,7.0,32.48,0,1
1329,F,3,Negocios,Privado,13.1,12.64,5.99,72.52932080079661,1.340041058304493,13.677420223915853,17.368711747406145,18.77,20.52,39.07,34.86,59.02,Muy_bajo,300,Financiamiento_familiar,Bajo,3.614194444601144,1,1,Impuntual,12.94,69.42,73.71,55.66,7.0,41.54,0,1
1330,F,1,Ciencias,Publico,13.45,14.55,7.03,49.22404167523544,76.78567066869262,64.2145162269443,80.0,3.64,70.04,78.12,54.4,87.78,Muy_bajo,300,Beca_parcial,Muy_bajo,22.536453753262798,0,0,Puntual,55.32,74.05,52.14,32.07,7.0,71.58,0,1
1331,F,1,Ciencias_Sociales,Privado,10.42,9.71,5.34,12.301419993709137,0.9770314848155248,76.22684506144907,80.0,8.99,17.78,21.14,47.13,68.97,Bajo,600,Pago_directo,Muy_bajo,9.20790476908528,1,1,Puntual,31.39,68.19,80.72,54.13,7.0,41.3,0,1
1332,F,5,Artes,Publico,17.76,18.6,16.82,38.99554727914891,42.86955554065207,69.56740911960546,80.0,4.38,46.12,86.56,63.16,70.07,Bajo,600,Pago_directo,Bajo,10.732029998623723,1,3,Impuntual,10.91,82.5,57.05,27.15,7.0,70.78,0,0
1333,M,4,Negocios,Privado,15.02,12.54,12.98,61.18229964766128,50.687761790736864,12.919757021251304,67.06617065768748,15.65,16.47,83.89,53.1,69.06,Bajo,600,Financiamiento_familiar,Muy_bajo,17.276553378734953,0,0,Puntual,67.02,78.92,75.17,32.98,7.0,0.0,0,1
1334,Other,3,Ciencias,Concertado,20.0,20.0,17.21,51.46761322452289,71.55873243133746,60.1292386463014,80.0,18.56,0.0,89.55,65.2,66.17,Muy_bajo,300,Beca_parcial,Bajo,11.936188535747474,0,0,Puntual,61.1,87.46,57.6,43.29,4.51,0.87,0,0
1335,Other,2,Negocios,Publico,17.44,15.69,15.74,70.82108589376959,54.336996880012464,16.333107674600935,71.73725957427173,21.21,11.26,24.73,47.37,70.7,Bajo,600,Pago_directo,Muy_bajo,14.479371706173941,1,2,Impuntual,2.09,66.01,0.0,18.37,7.0,17.67,0,1
1336,F,5,Ciencias,Concertado,17.0,17.08,13.58,59.99863172180933,64.89062295580739,3.106751465673163,71.71982760387952,20.66,0.0,10.51,36.53,69.6,Medio,1200,Credito,Bajo,12.253070697558725,1,1,Impuntual,22.42,63.55,0.0,39.36,7.0,29.43,0,1
1337,M,1,Ciencias_Sociales,Publico,9.12,7.94,12.55,4.929101808790932,61.59380810783737,38.75773732903635,80.0,2.38,37.23,10.06,44.85,64.65,Medio,1200,Credito,Bajo,8.393101440481805,1,3,Puntual,49.42,56.04,50.37,50.29,7.0,57.12,0,0
1338,F,2,Ciencias_Sociales,Publico,16.76,16.16,15.59,9.001011939052432,17.082788968262783,53.63044908915832,70.86894548385058,3.02,23.6,55.59,48.48,68.33,Muy_bajo,300,Financiamiento_familiar,Bajo,11.392415630534728,0,0,Puntual,58.48,81.56,70.91,40.49,7.0,32.05,0,0
1339,M,3,Artes,Privado,15.36,14.53,12.31,51.97989590168787,56.037445754016545,9.943005004615753,68.46429093701558,21.83,4.16,25.56,41.47,68.58,Bajo,600,Pago_directo,Bajo,8.621387106392433,0,0,Puntual,67.16,78.81,76.48,57.17,7.0,65.11,0,0
1340,M,2,Salud,Publico,13.67,16.08,3.4,19.072636680955092,51.006574011854184,48.441516534842535,80.0,20.25,0.0,26.35,34.84,60.68,Medio,1200,Credito,Muy_bajo,11.446786930713047,0,0,Puntual,64.27,74.29,85.84,33.97,7.0,65.14,0,0
1341,M,2,Ingenieria,Publico,11.07,9.23,11.67,47.026792211138996,19.517668247366686,67.49164000749676,80.0,11.05,28.76,17.24,50.57,80.81,Bajo,600,Pago_directo,Bajo,5.94787412012969,1,1,Puntual,33.41,71.68,74.98,54.38,7.0,41.26,0,0
1342,M,4,Negocios,Publico,12.38,10.63,9.27,63.377407367518124,10.266477571105028,16.720835776378344,28.51747287738575,10.32,46.1,56.21,43.96,75.25,Alto,3000,Beca_total,Bajo,2.41340849865015,0,0,Puntual,100.0,54.16,0.0,47.85,7.0,50.81,0,0
1343,F,4,Negocios,Publico,20.0,20.0,17.67,46.15452702456416,60.13114967804788,34.22315037507782,80.0,13.27,29.52,54.81,61.45,79.47,Alto,3000,Beca_parcial,Medio,16.936301041362167,0,0,Puntual,91.85,94.09,72.32,8.29,7.0,0.0,0,0
1344,F,6,Negocios,Privado,15.63,13.79,9.18,33.239085600503145,77.69010163743042,39.90405818142263,80.0,14.32,0.0,42.23,40.87,63.57,Muy_bajo,300,Financiamiento_familiar,Muy_bajo,3.8643269311523674,0,0,Puntual,52.69,66.67,30.48,42.1,5.38,25.06,0,1
1345,F,3,Ciencias_Sociales,Publico,1.0,1.0,0.69,51.701624889017516,59.07566690909878,66.49694009173668,80.0,6.1,62.25,13.84,20.51,67.25,Bajo,600,Beca_parcial,Bajo,21.123941141994408,0,0,Puntual,57.93,39.02,70.65,69.45,7.0,90.76,0,1
1346,M,1,Artes,Privado,10.96,11.0,4.76,11.489555541970535,59.95599011586852,61.71012909206419,80.0,9.69,0.0,92.88,50.71,59.31,Muy_bajo,300,Credito,Bajo,9.509059026048943,1,1,Puntual,29.95,67.78,81.94,38.74,6.83,12.18,0,0
1347,M,2,Ciencias_Sociales,Privado,19.67,18.19,16.51,57.85663964026254,13.336361117248954,61.54621109768598,76.72884280461209,14.87,33.17,42.79,61.17,66.75,Muy_bajo,300,Beca_parcial,Bajo,6.7224440792919555,0,0,Puntual,56.18,86.39,57.63,37.42,7.0,86.63,0,1
1348,M,8,Ingenieria,Publico,20.0,18.57,17.32,55.76200909696177,19.76442892635715,54.323067196571124,75.42338201507656,4.95,63.71,12.36,51.6,80.06,Alto,3000,Credito,Bajo,10.122818049509183,0,0,Impuntual,73.37,96.48,85.22,14.41,7.0,47.02,1,0
1349,Other,4,Artes,Publico,16.53,18.13,13.11,41.15226919618313,46.86101081227243,49.42313173113246,80.0,23.97,0.0,3.71,48.27,77.49,Alto,3000,Credito,Bajo,4.561495141483644,0,0,Impuntual,76.86,77.96,49.73,48.53,7.0,18.94,0,0
1350,M,5,Ingenieria,Privado,5.79,4.47,1.02,22.305079601053784,2.514467188396017,40.71100194057506,46.47913499364578,6.79,26.27,10.26,20.93,57.0,Muy_bajo,300,Pago_directo,Bajo,21.59419232240352,1,6,Impuntual,0.0,35.34,18.07,60.9,5.76,0.4,0,1
1351,F,1,Ingenieria,Publico,7.78,6.91,0.42,63.805102930379995,53.433835442653915,29.569491954528353,80.0,13.26,35.85,24.71,30.68,51.13,Bajo,600,Pago_directo,Muy_bajo,4.813796828681252,0,0,Puntual,56.85,46.9,46.42,40.59,7.0,41.94,0,1
1352,F,3,Negocios,Publico,12.72,13.55,8.63,40.844024258241376,11.584900143119219,41.058209053632964,56.514150326962714,13.3,11.19,58.01,43.48,71.52,Bajo,600,Pago_directo,Bajo,12.413675894026454,0,0,Puntual,50.66,57.04,12.06,28.1,7.0,0.0,0,1
1353,M,1,Ingenieria,Publico,14.33,16.78,17.99,4.734152468757502,33.071709697041115,68.29757996113628,80.0,10.84,0.0,92.09,59.63,65.13,Bajo,600,Pago_directo,Bajo,4.731256222345182,0,0,Puntual,69.69,79.47,85.58,42.17,7.0,24.15,1,1
