id,pps_actual_20,pps_anterior_20,asistencia_teorico_pct,asistencia_laboratorio_pct,asistencia_total_pct,autoeficacia_academica,entregas_tarea_puntual,horas_de_estudio_semana,indice_procrastinacion,alimentacion,actividad_fisica,horas_pantalla_no_academica,horas_sueno,habitos_vida,puntualidad_pago,ingresos_mensual,deuda_academica,tipo_financiamiento,costo_servicio_mensual,indice_financiero,horas_deporte,horas_cultura,horas_extracurriculares,horas_trabajo_semana,estres,apoyo_social,rendimiento,riesgo_de_desercion,bienestar_estudiantil
1505,Destacado,Inicio,Baja,Media,Excelente,Baja,Ejemplar,Adecuado,Mínimo,Inadecuada,Baja,Bajo,Excesivo,Excelente,Impuntual,Medio,Sin deuda,Pago Directo,Bajo,Sostenible,Nula,Nula,Alta,Tiempo completo,Moderado,Excelente,Destacado,Bajo,Excelente
1506,En proceso,En proceso,Baja,Media,Baja,Excelente,Crítico,Limitado,Mínimo,Moderada,Nula,Moderado,Adecuado,Excelente,Puntual,Muy Bajo,Sin deuda,Pago Directo,Bajo,Sostenible,Frecuente,Ocasional,Media,Parcial baja,Alto,Moderado,En proceso,Medio,Excelente
1507,Destacado,Destacado,Baja,Baja,Excelente,Excelente,Consistente,Adecuado,Mínimo,Moderada,Nula,Bajo,Adecuado,Excelente,Puntual,Bajo,Sin deuda,Credito,Muy Bajo,Estable,Frecuente,Constante,Alta,Parcial baja,Bajo,Moderado,Previsto,Alto,Regular
1508,Destacado,Previsto,Baja,Baja,Alta,Media,Consistente,Adecuado,Mínimo,Inadecuada,Baja,Moderado,Excesivo,Excelente,Impuntual,Muy Bajo,Con deuda,Financiamiento Familiar,Bajo,Estable,Frecuente,Ocasional,Media,Tiempo completo,Alto,Insuficiente,Inicio,Bajo,Crítico
1509,Inicio,Inicio,Baja,Baja,Media,Alta,Crítico,Insuficiente,Frecuente,Inadecuada,Baja,Moderado,Adecuado,Excelente,Puntual,Bajo,Sin deuda,Pago Directo,Bajo,Estable,Constante,Constante,Baja,Tiempo completo,Moderado,Insuficiente,Destacado,Bajo,Crítico
1510,Destacado,Destacado,Baja,Media,Alta,Excelente,Consistente,Adecuado,Mínimo,Inadecuada,Nula,Moderado,Excesivo,Excelente,Puntual,Medio,Con deuda,Credito,Bajo,Estable,Ocasional,Nula,Media,Ninguna,Alto,Excelente,En proceso,Medio,Excelente
1511,En proceso,En proceso,Baja,Baja,Excelente,Baja,Crítico,Insuficiente,Ocasional,Moderada,Constante,Alto,Excesivo,Excelente,Impuntual,Muy Bajo,Con deuda,Financiamiento Familiar,Muy Bajo,Riesgo moderado,Nula,Ocasional,Media,Parcial baja,Moderado,Bueno,Inicio,Alto,Excelente
1512,En proceso,En proceso,Baja,Media,Alta,Excelente,Moderado,Insuficiente,Ocasional,Adecuada,Nula,Alto,Adecuado,Bueno,Impuntual,Bajo,Con deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Constante,Constante,Baja,Ninguna,Bajo,Insuficiente,Destacado,Medio,Excelente
1513,Previsto,Previsto,Baja,Baja,Baja,Baja,Ejemplar,Adecuado,Mínimo,Inadecuada,Baja,Moderado,Adecuado,Excelente,Impuntual,Bajo,Con deuda,Financiamiento Familiar,Bajo,Sostenible,Nula,Frecuente,Media,Tiempo completo,Bajo,Moderado,Destacado,Alto,Regular
1514,En proceso,En proceso,Baja,Media,Baja,Alta,Crítico,Limitado,Ocasional,Adecuada,Baja,Alto,Adecuado,Bueno,Puntual,Medio,Sin deuda,Financiamiento Familiar,Muy Bajo,Sostenible,Frecuente,Frecuente,Media,Tiempo completo,Moderado,Moderado,Inicio,Alto,Crítico
1515,Previsto,Destacado,Baja,Baja,Alta,Excelente,Consistente,Adecuado,Mínimo,Adecuada,Baja,Alto,Excesivo,Excelente,Puntual,Muy Bajo,Con deuda,Financiamiento Familiar,Bajo,Sostenible,Ocasional,Nula,Baja,Parcial alta,Bajo,Excelente,En proceso,Bajo,Regular
1516,En proceso,En proceso,Baja,Baja,Baja,Media,Moderado,Limitado,Ocasional,Moderada,Frecuente,Alto,Regular,Bueno,Puntual,Medio,Sin deuda,Beca Total,Bajo,Riesgo moderado,Ocasional,Nula,Baja,Parcial baja,Alto,Moderado,Previsto,Medio,Crítico
1517,Previsto,Previsto,Baja,Baja,Alta,Baja,Moderado,Limitado,Mínimo,Adecuada,Nula,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Riesgo moderado,Constante,Nula,Baja,Parcial alta,Muy alto,Bueno,Destacado,Bajo,Regular
1518,Inicio,Inicio,Baja,Baja,Alta,Media,Moderado,Insuficiente,Ocasional,Adecuada,Baja,Bajo,Adecuado,Excelente,Puntual,Alto,Sin deuda,Beca Parcial,Muy Bajo,Estable,Ocasional,Ocasional,Media,Parcial alta,Muy alto,Insuficiente,Inicio,Medio,Excelente
1519,Previsto,Previsto,Baja,Baja,Alta,Alta,Crítico,Adecuado,Mínimo,Inadecuada,Baja,Moderado,Adecuado,Excelente,Puntual,Alto,Sin deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Nula,Frecuente,Baja,Ninguna,Muy alto,Bueno,Inicio,Bajo,Regular
1520,Inicio,Inicio,Baja,Baja,Alta,Excelente,Moderado,Limitado,Ocasional,Moderada,Nula,Alto,Deficiente,Bueno,Impuntual,Bajo,Con deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Frecuente,Frecuente,Alta,Tiempo completo,Moderado,Insuficiente,Destacado,Bajo,Regular
1521,Destacado,Destacado,Baja,Media,Excelente,Excelente,Moderado,Adecuado,Mínimo,Adecuada,Frecuente,Alto,Excesivo,Bueno,Impuntual,Muy Bajo,Con deuda,Pago Directo,Bajo,Vulnerable,Ocasional,Constante,Baja,Tiempo completo,Bajo,Excelente,En proceso,Alto,Regular
1522,Previsto,Previsto,Baja,Baja,Baja,Excelente,Consistente,Adecuado,Mínimo,Inadecuada,Nula,Alto,Adecuado,Bueno,Impuntual,Medio,Sin deuda,Financiamiento Familiar,Bajo,Vulnerable,Nula,Constante,Alta,Tiempo completo,Alto,Moderado,Destacado,Alto,Excelente
1523,Previsto,Previsto,Baja,Baja,Media,Media,Moderado,Adecuado,Mínimo,Inadecuada,Nula,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Riesgo moderado,Ocasional,Ocasional,Baja,Tiempo completo,Alto,Moderado,Destacado,Alto,Crítico
1524,Previsto,En proceso,Baja,Baja,Media,Alta,Moderado,Adecuado,Mínimo,Adecuada,Nula,Alto,Regular,Bueno,Puntual,Muy Bajo,Sin deuda,Beca Parcial,Bajo,Sostenible,Nula,Frecuente,Baja,Tiempo completo,Moderado,Excelente,Destacado,Medio,Crítico
1525,Inicio,Inicio,Baja,Baja,Alta,Media,Crítico,Limitado,Frecuente,Moderada,Nula,Bajo,Regular,Excelente,Impuntual,Muy Bajo,Con deuda,Financiamiento Familiar,Bajo,Sostenible,Constante,Ocasional,Media,Parcial baja,Moderado,Bueno,Inicio,Alto,Regular
1526,Inicio,Inicio,Baja,Media,Baja,Alta,Crítico,Limitado,Frecuente,Moderada,Baja,Alto,Regular,Bueno,Puntual,Bajo,Sin deuda,Pago Directo,Bajo,Riesgo moderado,Constante,Ocasional,Alta,Tiempo completo,Moderado,Moderado,Destacado,Alto,Regular
1527,Inicio,Destacado,Baja,Media,Excelente,Media,Crítico,Adecuado,Ocasional,Inadecuada,Nula,Moderado,Deficiente,Bueno,Puntual,Alto,Sin deuda,Pago Directo,Bajo,Estable,Nula,Frecuente,Media,Ninguna,Bajo,Excelente,En proceso,Alto,Crítico
1528,Destacado,Destacado,Baja,Alta,Media,Media,Moderado,Adecuado,Mínimo,Inadecuada,Baja,Bajo,Excesivo,Excelente,Impuntual,Alto,Sin deuda,Financiamiento Familiar,Bajo,Vulnerable,Ocasional,Frecuente,Media,Parcial baja,Moderado,Moderado,Inicio,Alto,Regular
1529,En proceso,Previsto,Baja,Baja,Excelente,Baja,Consistente,Limitado,Mínimo,Adecuada,Baja,Alto,Regular,Bueno,Impuntual,Muy Bajo,Con deuda,Credito,Bajo,Vulnerable,Nula,Ocasional,Media,Tiempo completo,Bajo,Excelente,En proceso,Alto,Excelente
1530,Inicio,Inicio,Baja,Media,Excelente,Alta,Crítico,Insuficiente,Frecuente,Moderada,Baja,Moderado,Regular,Excelente,Puntual,Bajo,Sin deuda,Beca Parcial,Bajo,Estable,Nula,Ocasional,Alta,Tiempo completo,Bajo,Bueno,Destacado,Bajo,Excelente
1531,En proceso,En proceso,Baja,Baja,Media,Baja,Moderado,Limitado,Ocasional,Inadecuada,Frecuente,Alto,Adecuado,Excelente,Impuntual,Muy Bajo,Con deuda,Credito,Bajo,Estable,Constante,Nula,Alta,Parcial alta,Muy alto,Excelente,Previsto,Alto,Regular
1532,Destacado,Destacado,Baja,Media,Baja,Excelente,Consistente,Adecuado,Mínimo,Inadecuada,Baja,Alto,Excesivo,Excelente,Impuntual,Bajo,Con deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Constante,Nula,Baja,Tiempo completo,Moderado,Moderado,Inicio,Bajo,Crítico
1533,Previsto,Previsto,Baja,Baja,Baja,Media,Moderado,Adecuado,Mínimo,Moderada,Nula,Alto,Adecuado,Excelente,Puntual,Medio,Sin deuda,Beca Parcial,Bajo,Riesgo moderado,Constante,Nula,Media,Parcial baja,Moderado,Excelente,En proceso,Bajo,Regular
1534,Destacado,Destacado,Baja,Media,Alta,Alta,Consistente,Adecuado,Ocasional,Adecuada,Baja,Alto,Excesivo,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Muy Bajo,Vulnerable,Nula,Ocasional,Baja,Parcial baja,Alto,Moderado,Previsto,Alto,Excelente
1535,En proceso,Inicio,Baja,Baja,Excelente,Excelente,Moderado,Limitado,Mínimo,Adecuada,Baja,Alto,Excesivo,Bueno,Puntual,Bajo,Sin deuda,Pago Directo,Muy Bajo,Vulnerable,Nula,Ocasional,Media,Parcial alta,Alto,Excelente,Destacado,Medio,Crítico
1536,Previsto,En proceso,Baja,Baja,Excelente,Media,Consistente,Adecuado,Mínimo,Inadecuada,Nula,Alto,Excesivo,Excelente,Impuntual,Muy Bajo,Con deuda,Beca Total,Bajo,Estable,Constante,Ocasional,Media,Ninguna,Moderado,Moderado,Inicio,Bajo,Excelente
1537,Destacado,Destacado,Baja,Media,Baja,Media,Ejemplar,Adecuado,Mínimo,Adecuada,Baja,Alto,Excesivo,Excelente,Impuntual,Bajo,Sin deuda,Financiamiento Familiar,Bajo,Vulnerable,Frecuente,Constante,Media,Parcial alta,Bajo,Excelente,Previsto,Medio,Crítico
1538,Previsto,En proceso,Baja,Baja,Media,Excelente,Moderado,Limitado,Mínimo,Inadecuada,Baja,Bajo,Adecuado,Excelente,Puntual,Alto,Sin deuda,Pago Directo,Bajo,Vulnerable,Frecuente,Frecuente,Alta,Parcial baja,Bajo,Excelente,Destacado,Alto,Regular
1539,Previsto,Destacado,Baja,Media,Alta,Excelente,Moderado,Adecuado,Mínimo,Moderada,Baja,Alto,Regular,Bueno,Puntual,Muy Bajo,Sin deuda,Credito,Bajo,Vulnerable,Frecuente,Constante,Media,Ninguna,Muy alto,Bueno,Previsto,Alto,Regular
1540,En proceso,Inicio,Baja,Media,Excelente,Baja,Crítico,Adecuado,Frecuente,Inadecuada,Baja,Moderado,Regular,Excelente,Puntual,Bajo,Sin deuda,Financiamiento Familiar,Muy Bajo,Sostenible,Ocasional,Ocasional,Alta,Ninguna,Moderado,Insuficiente,Previsto,Bajo,Excelente
1541,Destacado,Destacado,Baja,Media,Media,Alta,Consistente,Adecuado,Mínimo,Moderada,Baja,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Financiamiento Familiar,Muy Bajo,Sostenible,Nula,Ocasional,Media,Ninguna,Alto,Insuficiente,En proceso,Bajo,Excelente
1542,En proceso,Previsto,Baja,Baja,Baja,Alta,Moderado,Limitado,Ocasional,Moderada,Baja,Moderado,Excesivo,Excelente,Puntual,Medio,Con deuda,Beca Parcial,Bajo,Vulnerable,Constante,Nula,Alta,Tiempo completo,Muy alto,Insuficiente,Previsto,Bajo,Crítico
1543,Previsto,Previsto,Baja,Baja,Alta,Excelente,Moderado,Limitado,Mínimo,Inadecuada,Baja,Bajo,Regular,Excelente,Impuntual,Alto,Con deuda,Financiamiento Familiar,Bajo,Estable,Constante,Ocasional,Baja,Tiempo completo,Alto,Excelente,Inicio,Alto,Excelente
1544,Previsto,Previsto,Baja,Media,Alta,Baja,Consistente,Adecuado,Mínimo,Moderada,Nula,Alto,Adecuado,Bueno,Impuntual,Bajo,Con deuda,Pago Directo,Bajo,Vulnerable,Constante,Ocasional,Media,Ninguna,Muy alto,Insuficiente,En proceso,Alto,Excelente
1545,Destacado,Previsto,Baja,Media,Excelente,Excelente,Moderado,Adecuado,Mínimo,Adecuada,Baja,Alto,Regular,Bueno,Puntual,Bajo,Sin deuda,Credito,Bajo,Sostenible,Nula,Frecuente,Alta,Parcial alta,Muy alto,Insuficiente,Destacado,Medio,Excelente
1546,En proceso,En proceso,Baja,Baja,Baja,Media,Moderado,Limitado,Ocasional,Adecuada,Baja,Moderado,Adecuado,Excelente,Impuntual,Bajo,Con deuda,Financiamiento Familiar,Bajo,Vulnerable,Ocasional,Frecuente,Baja,Ninguna,Muy alto,Excelente,Destacado,Bajo,Regular
1547,Destacado,Destacado,Baja,Baja,Excelente,Alta,Consistente,Adecuado,Mínimo,Moderada,Nula,Alto,Adecuado,Excelente,Puntual,Alto,Con deuda,Credito,Muy Bajo,Sostenible,Frecuente,Ocasional,Alta,Ninguna,Alto,Moderado,En proceso,Alto,Excelente
1548,Destacado,Previsto,Baja,Media,Excelente,Baja,Consistente,Adecuado,Ocasional,Adecuada,Baja,Moderado,Regular,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Muy Bajo,Sostenible,Ocasional,Nula,Alta,Ninguna,Bajo,Bueno,Destacado,Medio,Regular
1549,En proceso,En proceso,Baja,Alta,Media,Alta,Consistente,Limitado,Mínimo,Adecuada,Baja,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Sostenible,Frecuente,Frecuente,Alta,Parcial baja,Muy alto,Insuficiente,Previsto,Bajo,Crítico
1550,En proceso,Previsto,Baja,Baja,Alta,Baja,Moderado,Limitado,Mínimo,Adecuada,Baja,Moderado,Adecuado,Excelente,Impuntual,Muy Bajo,Con deuda,Beca Parcial,Bajo,Riesgo moderado,Nula,Ocasional,Alta,Parcial baja,Bajo,Moderado,Previsto,Bajo,Excelente
1551,En proceso,En proceso,Baja,Media,Alta,Baja,Consistente,Adecuado,Mínimo,Moderada,Nula,Bajo,Regular,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Vulnerable,Frecuente,Ocasional,Baja,Parcial baja,Muy alto,Moderado,Inicio,Alto,Excelente
1552,En proceso,En proceso,Baja,Baja,Baja,Baja,Moderado,Limitado,Ocasional,Inadecuada,Baja,Alto,Excesivo,Excelente,Impuntual,Bajo,Con deuda,Beca Parcial,Bajo,Riesgo moderado,Constante,Constante,Baja,Tiempo completo,Bajo,Excelente,En proceso,Bajo,Excelente
1553,Destacado,Destacado,Baja,Baja,Alta,Baja,Consistente,Adecuado,Mínimo,Inadecuada,Baja,Alto,Adecuado,Bueno,Puntual,Muy Bajo,Sin deuda,Beca Parcial,Muy Bajo,Estable,Constante,Nula,Alta,Parcial alta,Muy alto,Bueno,Previsto,Medio,Excelente
1554,Inicio,Inicio,Baja,Media,Media,Alta,Crítico,Insuficiente,Frecuente,Moderada,Frecuente,Bajo,Excesivo,Excelente,Impuntual,Muy Bajo,Con deuda,Financiamiento Familiar,Bajo,Vulnerable,Frecuente,Constante,Alta,Ninguna,Muy alto,Excelente,Destacado,Alto,Excelente
1555,Inicio,Inicio,Baja,Baja,Alta,Excelente,Moderado,Insuficiente,Ocasional,Inadecuada,Frecuente,Moderado,Excesivo,Excelente,Puntual,Medio,Sin deuda,Credito,Bajo,Vulnerable,Frecuente,Ocasional,Baja,Tiempo completo,Alto,Bueno,En proceso,Medio,Crítico
1556,Previsto,Previsto,Baja,Baja,Media,Media,Moderado,Adecuado,Mínimo,Moderada,Baja,Moderado,Adecuado,Excelente,Impuntual,Bajo,Con deuda,Financiamiento Familiar,Bajo,Estable,Constante,Nula,Baja,Ninguna,Bajo,Bueno,Inicio,Medio,Regular
1557,Destacado,Destacado,Baja,Baja,Baja,Media,Consistente,Adecuado,Mínimo,Moderada,Nula,Alto,Adecuado,Bueno,Puntual,Medio,Sin deuda,Financiamiento Familiar,Muy Bajo,Sostenible,Nula,Nula,Alta,Ninguna,Muy alto,Moderado,Inicio,Medio,Excelente
1558,Destacado,Destacado,Baja,Media,Baja,Baja,Consistente,Adecuado,Mínimo,Inadecuada,Baja,Alto,Excesivo,Excelente,Puntual,Medio,Sin deuda,Beca Total,Muy Bajo,Estable,Ocasional,Ocasional,Media,Tiempo completo,Moderado,Moderado,En proceso,Bajo,Crítico
1559,Inicio,Inicio,Baja,Baja,Media,Alta,Crítico,Insuficiente,Ocasional,Inadecuada,Baja,Moderado,Regular,Excelente,Puntual,Muy Bajo,Sin deuda,Credito,Muy Bajo,Estable,Ocasional,Ocasional,Media,Tiempo completo,Bajo,Insuficiente,Inicio,Bajo,Regular
1560,En proceso,En proceso,Baja,Baja,Alta,Alta,Crítico,Limitado,Mínimo,Moderada,Baja,Moderado,Regular,Excelente,Puntual,Medio,Sin deuda,Financiamiento Familiar,Bajo,Sostenible,Ocasional,Ocasional,Alta,Parcial alta,Bajo,Bueno,Inicio,Alto,Excelente
1561,En proceso,En proceso,Baja,Alta,Alta,Alta,Moderado,Limitado,Mínimo,Moderada,Baja,Alto,Adecuado,Excelente,Puntual,Muy Bajo,Sin deuda,Credito,Bajo,Sostenible,Constante,Ocasional,Baja,Parcial baja,Alto,Insuficiente,Inicio,Bajo,Regular
1562,Inicio,Inicio,Baja,Media,Baja,Alta,Moderado,Insuficiente,Ocasional,Moderada,Nula,Moderado,Deficiente,Bueno,Puntual,Bajo,Sin deuda,Beca Total,Bajo,Riesgo moderado,Nula,Frecuente,Alta,Ninguna,Bajo,Bueno,En proceso,Alto,Excelente
1563,Inicio,Inicio,Baja,Baja,Excelente,Excelente,Crítico,Insuficiente,Ocasional,Adecuada,Nula,Moderado,Adecuado,Excelente,Puntual,Medio,Sin deuda,Beca Parcial,Muy Bajo,Riesgo moderado,Ocasional,Nula,Media,Tiempo completo,Muy alto,Moderado,En proceso,Medio,Regular
1564,Previsto,Previsto,Baja,Baja,Alta,Alta,Moderado,Adecuado,Mínimo,Inadecuada,Baja,Alto,Adecuado,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Estable,Constante,Ocasional,Media,Ninguna,Alto,Moderado,Destacado,Medio,Excelente
1565,Inicio,Inicio,Baja,Baja,Media,Media,Crítico,Insuficiente,Ocasional,Adecuada,Nula,Alto,Regular,Bueno,Puntual,Bajo,Sin deuda,Pago Directo,Bajo,Estable,Constante,Constante,Media,Parcial alta,Moderado,Bueno,Previsto,Alto,Excelente
1566,En proceso,En proceso,Baja,Media,Excelente,Baja,Crítico,Limitado,Ocasional,Adecuada,Baja,Moderado,Adecuado,Excelente,Impuntual,Medio,Sin deuda,Beca Parcial,Bajo,Sostenible,Frecuente,Nula,Media,Parcial baja,Bajo,Insuficiente,Previsto,Alto,Excelente
1567,Inicio,Inicio,Baja,Baja,Alta,Media,Moderado,Insuficiente,Ocasional,Adecuada,Nula,Alto,Adecuado,Bueno,Puntual,Medio,Sin deuda,Credito,Bajo,Estable,Nula,Frecuente,Media,Tiempo completo,Muy alto,Moderado,Previsto,Bajo,Excelente
1568,En proceso,En proceso,Baja,Baja,Media,Media,Moderado,Adecuado,Ocasional,Inadecuada,Baja,Alto,Regular,Bueno,Puntual,Bajo,Sin deuda,Financiamiento Familiar,Muy Bajo,Riesgo moderado,Frecuente,Nula,Media,Parcial alta,Bajo,Bueno,Inicio,Alto,Crítico
1569,En proceso,En proceso,Baja,Media,Baja,Media,Moderado,Limitado,Mínimo,Moderada,Baja,Alto,Excesivo,Excelente,Puntual,Bajo,Sin deuda,Pago Directo,Muy Bajo,Vulnerable,Ocasional,Ocasional,Baja,Tiempo completo,Moderado,Bueno,Inicio,Alto,Regular
1570,Previsto,En proceso,Baja,Baja,Baja,Excelente,Moderado,Limitado,Ocasional,Moderada,Baja,Alto,Excesivo,Excelente,Puntual,Medio,Sin deuda,Credito,Bajo,Vulnerable,Ocasional,Nula,Alta,Tiempo completo,Moderado,Moderado,En proceso,Alto,Regular
1571,Previsto,En proceso,Baja,Media,Media,Baja,Moderado,Adecuado,Ocasional,Adecuada,Nula,Moderado,Adecuado,Excelente,Puntual,Muy Bajo,Sin deuda,Pago Directo,Muy Bajo,Vulnerable,Ocasional,Ocasional,Baja,Tiempo completo,Alto,Moderado,Previsto,Medio,Excelente
1572,En proceso,Inicio,Baja,Baja,Excelente,Baja,Moderado,Adecuado,Ocasional,Inadecuada,Baja,Moderado,Regular,Excelente,Puntual,Medio,Sin deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Ocasional,Constante,Media,Ninguna,Alto,Insuficiente,Previsto,Alto,Regular
1573,En proceso,En proceso,Baja,Baja,Excelente,Media,Moderado,Limitado,Mínimo,Adecuada,Frecuente,Alto,Regular,Bueno,Impuntual,Medio,Con deuda,Pago Directo,Bajo,Riesgo moderado,Frecuente,Ocasional,Alta,Ninguna,Bajo,Excelente,Previsto,Medio,Excelente
1574,En proceso,Previsto,Baja,Baja,Media,Alta,Moderado,Adecuado,Mínimo,Moderada,Nula,Bajo,Adecuado,Excelente,Puntual,Muy Bajo,Con deuda,Beca Parcial,Muy Bajo,Estable,Nula,Frecuente,Media,Parcial baja,Bajo,Bueno,Inicio,Bajo,Excelente
1575,Destacado,Destacado,Baja,Baja,Alta,Baja,Consistente,Adecuado,Mínimo,Inadecuada,Nula,Moderado,Regular,Excelente,Puntual,Alto,Sin deuda,Pago Directo,Bajo,Riesgo moderado,Constante,Ocasional,Baja,Parcial alta,Bajo,Moderado,Destacado,Medio,Regular
1576,Destacado,Destacado,Baja,Baja,Media,Baja,Moderado,Adecuado,Ocasional,Moderada,Baja,Moderado,Excesivo,Excelente,Impuntual,Muy Bajo,Sin deuda,Financiamiento Familiar,Bajo,Vulnerable,Nula,Nula,Media,Ninguna,Alto,Excelente,Inicio,Bajo,Excelente
1577,Destacado,Destacado,Baja,Baja,Baja,Excelente,Consistente,Adecuado,Mínimo,Moderada,Constante,Bajo,Adecuado,Excelente,Puntual,Alto,Sin deuda,Pago Directo,Bajo,Estable,Ocasional,Nula,Alta,Ninguna,Alto,Bueno,Previsto,Bajo,Crítico
1578,En proceso,En proceso,Baja,Baja,Excelente,Excelente,Moderado,Limitado,Ocasional,Moderada,Baja,Moderado,Excesivo,Excelente,Puntual,Bajo,Con deuda,Financiamiento Familiar,Bajo,Vulnerable,Nula,Frecuente,Media,Ninguna,Moderado,Bueno,Previsto,Alto,Regular
1579,En proceso,En proceso,Baja,Media,Media,Baja,Moderado,Limitado,Ocasional,Moderada,Nula,Bajo,Regular,Excelente,Puntual,Medio,Con deuda,Financiamiento Familiar,Bajo,Sostenible,Ocasional,Nula,Baja,Tiempo completo,Alto,Bueno,En proceso,Medio,Crítico
1580,Destacado,Destacado,Baja,Baja,Alta,Baja,Ejemplar,Adecuado,Mínimo,Moderada,Baja,Moderado,Deficiente,Bueno,Puntual,Bajo,Con deuda,Pago Directo,Bajo,Riesgo moderado,Constante,Frecuente,Media,Tiempo completo,Moderado,Insuficiente,Previsto,Bajo,Regular
1581,En proceso,En proceso,Baja,Baja,Baja,Media,Moderado,Adecuado,Ocasional,Inadecuada,Baja,Alto,Regular,Bueno,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Sostenible,Ocasional,Ocasional,Media,Ninguna,Alto,Excelente,Previsto,Medio,Crítico
1582,Destacado,Destacado,Baja,Baja,Media,Baja,Ejemplar,Adecuado,Mínimo,Inadecuada,Baja,Moderado,Adecuado,Excelente,Impuntual,Muy Bajo,Sin deuda,Financiamiento Familiar,Bajo,Sostenible,Ocasional,Ocasional,Alta,Tiempo completo,Muy alto,Insuficiente,Destacado,Medio,Regular
1583,Destacado,Destacado,Baja,Media,Alta,Alta,Ejemplar,Adecuado,Mínimo,Inadecuada,Nula,Bajo,Excesivo,Excelente,Puntual,Bajo,Sin deuda,Financiamiento Familiar,Bajo,Estable,Frecuente,Ocasional,Alta,Ninguna,Alto,Bueno,Destacado,Bajo,Excelente
1584,Destacado,Destacado,Baja,Baja,Excelente,Excelente,Moderado,Adecuado,Mínimo,Moderada,Baja,Moderado,Adecuado,Excelente,Impuntual,Muy Bajo,Sin deuda,Pago Directo,Muy Bajo,Estable,Frecuente,Nula,Media,Parcial baja,Muy alto,Bueno,En proceso,Medio,Excelente
1585,Destacado,Destacado,Baja,Baja,Baja,Baja,Consistente,Adecuado,Mínimo,Inadecuada,Nula,Alto,Regular,Bueno,Puntual,Medio,Con deuda,Pago Directo,Muy Bajo,Vulnerable,Frecuente,Frecuente,Alta,Parcial baja,Bajo,Insuficiente,Destacado,Medio,Crítico
1586,Inicio,En proceso,Baja,Baja,Alta,Excelente,Moderado,Insuficiente,Ocasional,Moderada,Nula,Alto,Regular,Excelente,Puntual,Bajo,Sin deuda,Beca Total,Bajo,Vulnerable,Nula,Nula,Media,Ninguna,Moderado,Excelente,En proceso,Bajo,Regular
1587,En proceso,En proceso,Baja,Media,Media,Excelente,Consistente,Adecuado,Mínimo,Inadecuada,Baja,Alto,Excesivo,Excelente,Puntual,Medio,Sin deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Constante,Constante,Media,Parcial baja,Muy alto,Excelente,Previsto,Bajo,Excelente
1588,En proceso,En proceso,Baja,Media,Media,Media,Moderado,Limitado,Mínimo,Moderada,Frecuente,Moderado,Adecuado,Excelente,Impuntual,Medio,Con deuda,Pago Directo,Bajo,Vulnerable,Frecuente,Frecuente,Media,Tiempo completo,Bajo,Moderado,En proceso,Medio,Excelente
1589,Destacado,Destacado,Baja,Baja,Baja,Excelente,Consistente,Adecuado,Mínimo,Inadecuada,Frecuente,Alto,Excesivo,Excelente,Puntual,Alto,Sin deuda,Financiamiento Familiar,Bajo,Riesgo moderado,Constante,Frecuente,Baja,Parcial baja,Alto,Insuficiente,Inicio,Bajo,Regular
1590,Inicio,Inicio,Baja,Baja,Media,Media,Moderado,Insuficiente,Ocasional,Moderada,Baja,Alto,Adecuado,Bueno,Puntual,Muy Bajo,Sin deuda,Pago Directo,Bajo,Sostenible,Constante,Nula,Media,Parcial alta,Moderado,Bueno,Inicio,Medio,Excelente
1591,Inicio,Inicio,Baja,Baja,Baja,Alta,Moderado,Insuficiente,Frecuente,Inadecuada,Baja,Alto,Regular,Bueno,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Riesgo moderado,Constante,Ocasional,Baja,Tiempo completo,Moderado,Excelente,Inicio,Medio,Crítico
1592,Inicio,En proceso,Baja,Media,Alta,Alta,Consistente,Adecuado,Frecuente,Inadecuada,Baja,Alto,Deficiente,Bueno,Impuntual,Muy Bajo,Con deuda,Pago Directo,Bajo,Sostenible,Constante,Ocasional,Baja,Ninguna,Bajo,Moderado,En proceso,Alto,Crítico
1593,Inicio,En proceso,Baja,Baja,Excelente,Baja,Crítico,Insuficiente,Frecuente,Inadecuada,Baja,Alto,Excesivo,Excelente,Puntual,Medio,Sin deuda,Pago Directo,Bajo,Estable,Ocasional,Ocasional,Baja,Tiempo completo,Bajo,Insuficiente,Destacado,Alto,Crítico
