id,sex,semestre,carrera,tipo_colegio,pps_actual_20,pps_anterior_20,horas_de_estudio_semana,horas_trabajo_semana,horas_deporte,horas_cultura,horas_extracurriculares,horas_sueno,estres,apoyo_social,autoeficacia_academica,entregas_tarea_puntual,ingresos_mensual_cat,tipo_financiamiento,costo_servicio_mensual_cat,horas_pantalla_no_academica,deuda_academica_label,puntualidad_pago_label,indice_financiero,rendimiento,asistencia_total_pct,asistencia_teorico_pct,asistencia_laboratorio_pct,indice_procrastinacion,alimentacion,phc_score,tiene_hijos,riesgo_de_desercion,bienestar_estudiantil,actividad_fisica
88,F,1,Salud,Publico,10.14,8.74,7.54,64.79,29.34,34.21,65.98,8.52,75.89,14.14,37.74,73.03,Medio,Beca_total,Bajo,7.25,Con deuda,Impuntual,20.36,60.91,54.13,38.85,89.78,63.04,5.49,8.64,0,29.315143263204668,59.77793649572789,29.34
89,F,1,Salud,Privado,8.61,10.85,3.95,46.65,8.46,47.69,60.07,9.6,49.4,8.03,36.27,69.34,Muy_bajo,Financiamiento_familiar,Bajo,21.48,Con deuda,Puntual,25.44,60.26,71.1,86.57,34.99,49.42,6.42,85.45,0,59.60822289299068,48.877259136606625,8.46
90,M,1,Negocios,Publico,1.71,3.98,0.0,58.42,50.26,7.17,59.86,1.38,73.91,64.34,36.48,70.01,Medio,Credito,Bajo,23.33,Sin deuda,Impuntual,50.79,42.24,67.25,72.44,55.13,56.94,1.84,74.74,0,86.64198923413356,38.77270787889551,50.26
91,M,1,Negocios,Privado,17.47,19.92,16.47,29.19,9.71,26.99,38.38,14.0,0.0,14.72,43.19,87.14,Medio,Financiamiento_familiar,Muy_bajo,20.62,Sin deuda,Impuntual,50.35,79.54,39.05,40.38,35.95,38.46,1.58,22.26,0,30.688166845330088,64.73012090721014,9.71
92,F,4,Ciencias,Concertado,17.67,19.21,15.19,51.28,78.87,7.18,80.0,21.22,0.0,4.76,49.21,81.86,Medio,Pago_directo,Bajo,2.64,Sin deuda,Puntual,60.18,74.26,18.81,21.47,12.58,50.37,3.55,71.03,1,38.60547860918884,100.0,78.87
93,F,2,Ingenieria,Concertado,13.27,11.71,13.36,37.29,62.45,76.92,80.0,3.64,49.31,16.68,41.74,82.13,Bajo,Credito,Bajo,22.74,Con deuda,Puntual,20.03,68.53,42.6,35.6,58.93,26.63,6.6,29.39,0,47.204199622193265,46.65434159710214,62.45
94,F,2,Ingenieria,Publico,6.46,5.02,3.02,15.19,31.22,64.58,80.0,14.35,0.31,87.37,37.47,55.73,Bajo,Pago_directo,Bajo,10.16,Con deuda,Puntual,21.95,42.74,35.64,28.41,52.51,52.17,4.25,64.68,0,28.630034596745833,100.0,31.22
95,F,7,Negocios,Publico,2.76,1.96,2.17,56.14,46.29,36.77,80.0,15.95,12.63,82.15,44.89,46.09,Muy_bajo,Beca_parcial,Muy_bajo,0.22,Sin deuda,Puntual,47.03,27.52,18.42,17.61,20.3,67.94,4.16,43.09,0,95.0,100.0,46.29
96,F,3,Artes,Publico,4.34,3.43,1.22,44.52,72.91,17.89,80.0,10.06,40.38,30.41,27.39,50.91,Medio,Financiamiento_familiar,Bajo,10.62,Con deuda,Impuntual,24.1,42.71,65.59,74.33,45.19,62.2,1.85,0.0,0,85.9285053041719,73.82946093615605,72.91
97,F,5,Ciencias_Sociales,Publico,19.93,20.0,13.03,28.69,44.33,74.68,80.0,16.83,0.0,60.58,52.76,85.89,Bajo,Pago_directo,Bajo,1.11,Sin deuda,Puntual,54.1,86.96,41.55,25.21,79.69,20.96,1.0,83.79,0,19.55555238048473,100.0,44.33
98,M,1,Ingenieria,Publico,13.95,15.4,16.72,72.91,13.96,27.57,42.59,9.86,69.5,53.73,55.61,69.55,Bajo,Beca_parcial,Bajo,13.05,Sin deuda,Impuntual,47.89,70.2,49.5,45.42,59.04,35.02,5.86,36.41,0,44.70167289039007,58.30595616751366,13.96
99,M,2,Ingenieria,Concertado,14.16,15.28,7.75,1.67,30.3,12.88,45.54,12.11,0.0,67.71,49.41,65.55,Bajo,Beca_total,Bajo,8.13,Sin deuda,Impuntual,48.57,64.21,29.92,38.59,9.69,33.52,1.53,64.45,0,8.947862708273501,90.3677412172329,30.3
100,M,1,Ciencias,Publico,6.9,5.33,2.14,25.26,67.45,45.05,80.0,0.18,43.33,63.27,44.28,58.14,Muy_bajo,Financiamiento_familiar,Bajo,11.36,Sin deuda,Puntual,64.52,57.51,85.19,98.21,54.8,56.55,4.8,32.22,0,63.736149656856234,67.11357718290715,67.45
101,M,1,Ciencias_Sociales,Publico,11.04,13.09,9.22,4.55,51.54,75.5,80.0,16.6,0.0,62.87,51.29,61.54,Medio,Beca_parcial,Muy_bajo,14.72,Sin deuda,Puntual,78.78,60.23,48.46,39.11,70.27,44.56,6.49,0.0,0,19.8851650039325,96.87748252107436,51.54
102,F,2,Ciencias_Sociales,Privado,10.5,12.14,6.28,61.32,52.06,0.31,56.86,15.87,21.29,21.61,39.03,62.18,Muy_bajo,Pago_directo,Bajo,20.85,Con deuda,Puntual,20.44,53.04,29.38,8.0,79.27,63.75,2.25,5.55,0,70.43381134951159,66.5997255286756,52.06
103,M,1,Ciencias_Sociales,Privado,12.25,10.57,6.75,56.17,69.35,19.05,80.0,0.92,68.61,0.0,41.08,79.55,Medio,Pago_directo,Bajo,15.89,Sin deuda,Puntual,70.2,60.91,25.16,8.98,62.91,46.36,4.99,31.62,0,58.6332085796671,42.210144045403496,69.35
104,F,1,Ciencias_Sociales,Privado,18.05,19.91,11.18,26.51,71.52,75.08,80.0,8.84,9.36,40.56,45.79,83.97,Bajo,Financiamiento_familiar,Bajo,10.42,Con deuda,Puntual,23.51,82.18,45.93,59.08,15.27,31.05,1.47,60.0,0,26.729808110373064,83.77085387829959,71.52
105,F,1,Ingenieria,Privado,17.87,16.73,12.94,54.05,73.58,13.69,80.0,23.5,0.0,89.1,56.26,84.96,Muy_bajo,Credito,Muy_bajo,19.67,Sin deuda,Puntual,61.12,87.36,63.26,59.94,71.02,25.95,4.62,28.97,0,18.964597776367658,100.0,73.58
106,M,3,Salud,Publico,1.5,1.0,1.99,31.67,7.59,9.06,16.91,10.1,36.43,51.95,34.07,55.52,Bajo,Financiamiento_familiar,Muy_bajo,21.73,Con deuda,Puntual,37.77,33.44,49.63,41.88,67.73,71.39,1.98,60.55,0,95.0,49.73824219866226,7.59
107,M,2,Ingenieria,Publico,4.94,5.72,0.64,60.5,43.53,45.61,80.0,12.05,38.13,78.24,39.32,61.88,Muy_bajo,Pago_directo,Bajo,2.87,Sin deuda,Impuntual,42.03,39.49,30.96,43.18,2.44,45.69,5.42,65.36,0,90.76216472018841,97.29816150932447,43.53
108,F,3,Negocios,Concertado,20.0,20.0,17.9,36.33,59.24,68.95,80.0,21.84,0.0,99.16,75.72,74.99,Bajo,Beca_total,Bajo,12.77,Con deuda,Puntual,28.67,80.35,16.13,5.39,41.17,24.82,2.81,61.39,0,14.73700484181901,100.0,59.24
109,M,3,Ciencias_Sociales,Concertado,12.55,10.52,4.19,32.98,60.55,38.17,80.0,17.21,0.0,11.36,43.77,79.21,Medio,Financiamiento_familiar,Bajo,6.83,Con deuda,Puntual,45.17,67.09,46.15,51.65,33.3,39.95,3.78,31.25,0,49.362290686417275,96.38892538231325,60.55
110,M,5,Artes,Publico,5.37,4.46,0.97,74.78,48.54,79.57,80.0,13.97,43.81,64.18,29.95,45.56,Muy_bajo,Financiamiento_familiar,Bajo,1.13,Sin deuda,Puntual,46.95,41.66,55.41,50.47,66.94,69.19,4.6,86.99,1,87.50556573045444,97.12175126468343,48.54
111,M,1,Ciencias,Privado,8.89,11.35,3.42,20.07,13.34,54.33,67.84,19.15,0.0,62.43,31.99,49.34,Medio,Financiamiento_familiar,Muy_bajo,16.05,Con deuda,Impuntual,10.8,42.0,16.95,14.95,21.61,52.82,2.03,30.92,0,87.00304087986616,93.93255159164038,13.34
112,M,6,Negocios,Publico,5.63,6.52,0.7,9.64,63.79,5.93,70.24,20.74,0.0,98.0,35.63,66.95,Muy_bajo,Credito,Bajo,20.71,Sin deuda,Puntual,60.06,40.62,24.99,10.38,59.09,52.78,5.45,40.53,0,29.688159709567774,98.84246536692535,63.79
113,F,4,Artes,Publico,11.35,12.5,7.05,46.76,57.61,79.43,80.0,10.97,26.76,93.56,46.91,59.21,Muy_bajo,Pago_directo,Bajo,3.91,Sin deuda,Puntual,53.51,56.88,36.05,12.36,91.32,41.75,2.82,15.44,0,64.6791852558565,100.0,57.61
114,F,1,Ciencias_Sociales,Publico,13.95,12.51,14.44,77.55,6.89,32.63,44.37,11.4,39.64,68.67,45.97,68.48,Medio,Beca_parcial,Muy_bajo,19.5,Con deuda,Impuntual,29.91,64.34,31.01,10.1,79.78,48.09,4.97,12.77,0,53.487030222761,64.30735224987171,6.89
115,F,6,Ciencias_Sociales,Concertado,10.7,8.59,6.14,30.23,37.1,22.99,63.44,9.27,17.94,24.36,39.63,50.32,Bajo,Beca_parcial,Muy_bajo,20.48,Sin deuda,Puntual,51.95,60.88,70.32,60.97,92.15,51.09,1.95,0.0,0,58.68749806314288,61.914879521383256,37.1
116,F,7,Negocios,Concertado,11.95,10.83,8.0,4.96,13.92,44.63,62.44,23.2,0.0,74.86,54.72,53.78,Muy_bajo,Pago_directo,Muy_bajo,21.94,Con deuda,Puntual,32.11,59.57,43.11,19.65,97.85,54.32,5.13,58.85,0,20.21553413741584,93.69102241363468,13.92
117,F,1,Ciencias,Publico,11.96,10.7,12.16,27.14,27.0,24.34,55.22,16.73,0.0,5.7,45.74,58.33,Bajo,Pago_directo,Bajo,6.37,Con deuda,Puntual,29.6,53.54,17.92,25.14,1.07,53.99,1.77,15.85,0,69.6966233320228,88.43362317669965,27.0
118,M,2,Negocios,Privado,7.82,6.49,9.16,40.47,1.45,6.92,11.04,2.0,62.98,78.07,42.35,50.13,Bajo,Beca_total,Bajo,21.69,Sin deuda,Impuntual,46.54,44.03,30.83,17.36,62.27,59.58,3.55,21.42,0,41.98120328907689,35.92401760229298,1.45
119,F,6,Artes,Publico,17.65,16.11,15.51,12.95,32.03,0.11,36.13,20.71,0.0,91.02,60.55,87.01,Medio,Credito,Muy_bajo,7.7,Sin deuda,Puntual,76.34,91.79,79.43,95.78,41.28,25.23,2.48,59.08,0,4.104281484279487,100.0,32.03
120,F,5,Negocios,Publico,13.01,13.38,15.59,52.65,43.99,35.97,80.0,11.53,35.65,38.28,49.92,82.57,Bajo,Credito,Muy_bajo,13.26,Con deuda,Puntual,38.32,79.56,85.62,85.46,85.99,50.04,5.49,23.72,0,30.654902808565172,76.4567036628001,43.99
121,F,2,Salud,Privado,4.34,3.48,0.18,79.82,49.57,66.95,80.0,1.65,95.72,63.06,47.69,60.07,Medio,Credito,Bajo,1.21,Sin deuda,Puntual,65.96,36.56,23.69,23.05,25.18,40.67,2.57,6.22,0,95.0,65.2166231091335,49.57
122,F,2,Ingenieria,Privado,16.79,18.39,14.0,36.14,53.08,45.79,80.0,13.19,27.27,43.01,59.87,90.5,Medio,Credito,Bajo,1.05,Sin deuda,Impuntual,59.0,83.68,52.36,32.76,98.1,29.86,6.29,0.0,0,24.486679112526406,97.48459923851868,53.08
123,M,3,Artes,Privado,7.02,5.44,8.29,28.38,66.9,79.94,80.0,10.01,10.67,43.78,50.04,53.67,Bajo,Beca_total,Muy_bajo,17.29,Sin deuda,Puntual,53.03,44.25,33.1,20.99,61.37,60.9,6.35,68.49,1,41.81351614322026,78.36471535736295,66.9
124,M,3,Ciencias,Privado,20.0,19.82,17.8,32.06,17.24,22.95,44.3,21.07,0.0,26.04,56.32,81.42,Alto,Financiamiento_familiar,Bajo,10.67,Con deuda,Puntual,61.64,90.55,58.24,49.19,79.35,18.95,2.18,0.0,0,14.179593831404812,89.93460233176617,17.24
125,M,4,Ingenieria,Concertado,13.61,11.18,8.7,9.21,9.64,22.44,36.98,4.9,15.14,71.21,55.34,62.37,Bajo,Pago_directo,Bajo,6.15,Sin deuda,Impuntual,38.63,56.14,3.94,1.96,8.56,35.27,4.68,36.38,1,21.931030439358846,78.78157546338207,9.64
126,M,3,Negocios,Concertado,20.0,19.91,17.76,70.66,68.12,12.78,80.0,19.84,11.49,88.62,57.49,89.78,Alto,Financiamiento_familiar,Bajo,4.57,Sin deuda,Puntual,100.0,91.32,52.5,67.14,18.35,20.13,1.53,5.69,0,13.023007278076392,100.0,68.12
127,F,3,Ciencias_Sociales,Publico,16.04,13.82,13.58,33.19,12.53,13.13,29.47,13.38,12.48,89.08,58.88,72.44,Muy_bajo,Financiamiento_familiar,Bajo,16.08,Sin deuda,Impuntual,34.47,78.94,59.37,52.32,75.84,40.04,3.35,64.24,0,31.586197793326757,79.07549583148042,12.53
128,F,5,Artes,Publico,8.03,10.42,4.47,30.98,77.98,22.81,80.0,1.31,44.45,17.48,31.73,67.19,Medio,Beca_parcial,Bajo,0.01,Sin deuda,Impuntual,56.59,55.94,63.56,89.86,2.2,49.48,5.28,45.33,0,66.09666483863663,73.37168238503273,77.98
129,M,1,Ingenieria,Publico,13.55,15.0,9.69,52.78,67.4,63.43,80.0,23.32,3.06,82.47,49.4,74.95,Bajo,Pago_directo,Bajo,19.34,Sin deuda,Impuntual,44.59,66.56,36.01,16.44,81.69,51.63,4.96,72.07,0,50.16458675730804,100.0,67.4
130,F,2,Salud,Publico,19.4,19.35,17.86,35.36,40.07,72.46,80.0,12.3,26.54,68.74,60.33,78.2,Bajo,Pago_directo,Muy_bajo,1.9,Con deuda,Puntual,24.19,88.26,56.71,80.41,1.39,43.65,4.75,0.0,0,17.610974152018628,100.0,40.07
131,M,5,Negocios,Concertado,12.71,10.64,15.44,51.86,78.51,78.01,80.0,6.98,51.38,20.28,44.24,80.5,Medio,Pago_directo,Bajo,4.6,Sin deuda,Puntual,78.98,75.11,75.15,79.2,65.71,39.18,2.7,11.64,0,37.3314053095316,72.43429327437399,78.51
132,M,7,Ciencias_Sociales,Publico,9.04,9.5,1.75,4.92,7.79,18.58,28.19,11.27,0.0,1.73,23.88,76.45,Medio,Pago_directo,Bajo,9.27,Con deuda,Impuntual,11.22,49.06,19.86,12.72,36.51,45.02,3.27,10.01,0,25.46803649116528,70.86863595540913,7.79
133,M,3,Negocios,Publico,16.59,17.88,12.71,65.1,24.25,70.5,80.0,20.59,5.71,21.8,34.03,62.38,Muy_bajo,Pago_directo,Bajo,11.64,Con deuda,Impuntual,12.97,72.03,46.24,39.86,61.15,54.42,1.62,10.1,0,41.950189846887504,94.32303641966313,24.25
134,M,4,Negocios,Publico,12.28,10.73,6.22,75.24,51.06,26.26,77.91,7.32,71.37,86.22,41.1,65.0,Muy_bajo,Financiamiento_familiar,Medio,8.52,Sin deuda,Puntual,51.09,59.26,32.79,17.02,69.6,39.38,5.31,24.42,0,61.11413877823975,75.40447975679949,51.06
135,F,1,Ciencias,Concertado,4.02,4.36,0.13,51.9,28.0,9.03,41.65,4.62,57.39,63.32,30.62,68.32,Medio,Credito,Muy_bajo,7.7,Con deuda,Impuntual,20.0,37.22,28.1,25.47,34.25,45.77,4.02,12.98,0,94.17072386141,63.225080505091235,28.0
136,M,3,Ciencias_Sociales,Publico,10.12,11.69,7.26,76.37,74.27,69.6,80.0,3.1,92.29,67.11,42.7,76.94,Medio,Financiamiento_familiar,Bajo,23.13,Sin deuda,Puntual,68.45,54.22,21.67,26.32,10.8,30.53,5.25,34.19,0,95.0,42.26533633470444,74.27
137,F,4,Salud,Privado,5.97,7.31,4.23,12.11,5.25,50.89,60.79,7.15,20.32,20.72,30.71,51.76,Alto,Pago_directo,Bajo,15.4,Sin deuda,Puntual,93.44,41.19,41.03,55.62,6.96,54.93,2.49,21.37,0,29.402957519355887,63.680820022725214,5.25
138,F,2,Ingenieria,Publico,20.0,20.0,14.74,38.19,43.95,13.18,60.67,18.72,0.0,66.94,54.13,80.87,Medio,Pago_directo,Bajo,0.56,Con deuda,Puntual,37.16,87.25,46.47,41.14,58.89,18.02,2.95,20.11,0,19.130185413260854,100.0,43.95
139,M,2,Ciencias,Publico,12.65,14.55,6.07,48.14,47.27,34.39,80.0,11.32,19.47,0.0,48.28,70.04,Alto,Financiamiento_familiar,Bajo,10.32,Sin deuda,Impuntual,73.86,74.45,81.96,94.77,52.07,34.62,3.01,26.95,0,38.3191493226931,76.30351112878911,47.27
140,Other,3,Ciencias,Concertado,15.86,18.05,14.9,46.54,52.22,22.98,77.15,5.46,35.22,37.53,50.12,79.42,Medio,Beca_total,Bajo,21.0,Sin deuda,Puntual,64.08,72.3,31.11,12.64,74.22,25.19,1.15,15.62,0,20.778493077004214,57.148829361704415,52.22
141,F,1,Artes,Privado,5.87,5.4,0.01,32.12,20.45,58.94,80.0,3.99,36.98,62.68,31.71,49.86,Bajo,Credito,Bajo,7.23,Sin deuda,Puntual,53.74,51.17,83.45,97.37,50.97,51.25,3.05,20.03,0,73.24024062408377,78.29675165832357,20.45
142,M,2,Ciencias,Publico,8.96,9.3,5.54,27.05,29.17,36.27,68.45,7.99,29.87,9.61,36.5,75.49,Muy_bajo,Pago_directo,Bajo,2.27,Sin deuda,Impuntual,34.78,52.13,28.82,23.06,42.24,54.2,5.82,49.62,0,71.81057636571857,78.96429245110376,29.17
143,F,2,Artes,Concertado,8.29,9.74,4.34,10.15,67.49,79.14,80.0,22.56,0.0,77.3,49.69,65.4,Medio,Financiamiento_familiar,Muy_bajo,18.2,Con deuda,Puntual,45.96,58.55,66.04,77.29,39.81,64.86,6.38,0.0,0,20.722542930464694,100.0,67.49
144,M,2,Artes,Concertado,8.6,9.59,4.2,31.34,15.6,4.38,21.92,8.23,16.35,18.5,37.54,57.65,Medio,Financiamiento_familiar,Bajo,14.54,Sin deuda,Puntual,71.38,45.8,24.52,33.9,2.64,62.89,4.11,0.0,0,81.30447735757797,57.61934067082402,15.6
145,M,1,Ingenieria,Publico,10.66,13.14,1.23,13.01,66.15,28.4,80.0,23.71,0.0,65.23,37.15,67.07,Muy_bajo,Credito,Bajo,13.69,Sin deuda,Puntual,62.86,52.15,20.08,14.31,33.56,48.29,3.73,37.3,0,23.92361732874374,100.0,66.15
146,M,7,Negocios,Privado,7.19,4.76,3.37,58.75,45.01,38.55,80.0,11.65,36.36,40.52,41.59,77.11,Bajo,Credito,Muy_bajo,1.29,Con deuda,Puntual,32.73,63.75,89.33,85.79,97.6,43.75,1.18,85.29,0,54.38145380659294,90.49975742239312,45.01
147,F,4,Ingenieria,Concertado,9.95,9.23,10.0,16.71,60.98,40.25,80.0,4.3,50.35,54.6,49.36,52.83,Alto,Pago_directo,Bajo,3.37,Sin deuda,Puntual,100.0,54.98,47.83,30.89,87.36,60.63,6.28,27.15,0,22.51201894716244,78.85975087095231,60.98
148,F,5,Ciencias,Concertado,12.15,11.06,5.24,4.69,57.09,25.27,80.0,21.39,0.0,5.75,43.97,64.35,Bajo,Financiamiento_familiar,Bajo,14.94,Sin deuda,Impuntual,43.35,64.86,56.0,65.89,32.94,30.89,1.08,0.0,0,17.570164768763846,89.5301503041566,57.09
149,M,6,Negocios,Privado,9.8,8.61,7.51,44.19,16.6,58.34,76.4,11.05,32.25,0.0,37.76,62.63,Bajo,Pago_directo,Bajo,4.99,Con deuda,Puntual,28.99,58.25,57.28,56.64,58.78,61.67,6.67,75.63,0,62.61969088380177,79.00153533100355,16.6
150,M,3,Negocios,Privado,16.41,15.02,6.78,47.62,45.51,69.98,80.0,17.03,0.0,85.96,59.26,80.09,Bajo,Financiamiento_familiar,Bajo,12.1,Con deuda,Impuntual,13.79,81.58,58.44,47.18,84.73,35.78,3.94,64.23,0,27.62578059594672,100.0,45.51
151,F,1,Ingenieria,Concertado,19.49,20.0,15.77,69.75,69.42,75.1,80.0,23.61,0.0,21.96,54.98,58.9,Muy_bajo,Financiamiento_familiar,Muy_bajo,13.08,Sin deuda,Puntual,46.39,80.93,47.95,49.58,44.13,49.51,3.05,56.59,0,28.599385126959696,98.47297917917092,69.42
152,M,4,Ciencias_Sociales,Privado,17.05,14.97,16.3,46.16,34.57,64.41,80.0,1.2,51.99,81.97,63.67,97.81,Bajo,Credito,Bajo,6.8,Con deuda,Puntual,37.2,86.39,51.8,73.22,1.8,24.36,6.55,73.03,0,20.409359189978638,75.76009180114008,34.57
153,M,4,Ciencias_Sociales,Concertado,9.65,10.86,8.87,27.64,77.33,68.05,80.0,2.32,52.08,94.94,52.49,69.09,Bajo,Pago_directo,Bajo,22.76,Sin deuda,Puntual,65.56,48.74,8.38,8.78,7.45,41.64,1.15,31.41,0,76.88766636824599,58.15626004158927,77.33
154,F,5,Salud,Concertado,8.12,9.09,5.94,64.24,36.18,44.04,80.0,17.29,23.99,16.14,39.08,57.5,Muy_bajo,Financiamiento_familiar,Bajo,20.22,Con deuda,Puntual,19.9,54.1,62.08,66.82,51.04,57.59,4.49,17.65,0,68.84473578643255,73.71912192686028,36.18
155,Other,3,Ingenieria,Concertado,5.58,4.33,1.92,43.22,11.42,66.07,79.63,6.76,60.44,21.52,39.31,51.3,Medio,Financiamiento_familiar,Bajo,17.34,Sin deuda,Puntual,75.36,53.65,91.79,89.58,96.94,60.05,4.29,33.2,0,69.5189252169895,54.149492023467396,11.42
156,M,1,Ciencias,Concertado,16.15,14.91,17.16,6.34,31.15,24.28,57.49,4.42,13.18,61.29,50.39,75.23,Bajo,Financiamiento_familiar,Bajo,1.87,Con deuda,Puntual,20.25,70.43,24.84,5.78,69.32,21.83,2.32,45.88,0,14.784440572087803,86.5578922732226,31.15
157,F,2,Artes,Publico,3.66,4.3,1.08,45.27,76.14,31.88,80.0,0.94,76.54,91.54,52.51,65.53,Medio,Pago_directo,Bajo,2.55,Con deuda,Puntual,34.34,33.78,11.97,14.07,7.09,60.2,3.57,35.83,0,95.0,74.41517214911644,76.14
158,F,3,Ciencias_Sociales,Privado,3.77,5.08,5.36,72.64,25.58,25.35,53.28,0.52,82.2,91.58,40.3,74.11,Medio,Beca_total,Bajo,11.83,Sin deuda,Puntual,61.3,45.94,55.85,71.66,18.94,59.58,4.91,38.51,0,95.0,54.321953456300996,25.58
159,M,4,Salud,Privado,12.64,14.52,5.37,31.71,69.45,37.39,80.0,18.59,0.0,45.29,44.62,68.89,Muy_bajo,Pago_directo,Muy_bajo,3.86,Sin deuda,Puntual,60.6,66.72,53.75,43.73,77.13,32.04,5.36,90.37,0,49.91838217336436,100.0,69.45
160,F,4,Salud,Publico,8.76,10.52,5.77,23.71,70.5,22.85,80.0,3.23,43.66,79.51,58.54,86.16,Medio,Credito,Bajo,23.48,Sin deuda,Puntual,75.12,62.67,53.49,40.35,84.14,30.07,1.0,72.22,0,55.99914387453627,57.79169144236054,70.5
161,M,2,Artes,Privado,11.06,13.38,2.96,11.48,28.01,76.93,80.0,11.23,0.0,8.57,27.85,70.88,Bajo,Financiamiento_familiar,Bajo,3.8,Sin deuda,Impuntual,46.27,55.18,28.12,13.7,61.77,53.0,6.62,78.57,0,22.407794772292604,92.97726469447409,28.01
162,F,8,Salud,Publico,19.65,20.0,14.1,12.12,6.66,25.03,34.68,14.54,0.0,97.74,62.9,82.75,Medio,Beca_total,Bajo,11.7,Con deuda,Puntual,30.09,89.8,54.81,50.68,64.44,19.9,1.99,62.14,0,2.5488751969099335,92.3687940109918,6.66
163,F,4,Ciencias,Publico,4.35,6.39,2.2,34.62,57.96,7.84,66.29,10.28,27.95,96.44,36.58,61.94,Muy_bajo,Credito,Bajo,8.74,Con deuda,Puntual,25.02,32.45,9.71,12.65,2.83,62.6,2.4,89.84,0,95.0,90.12191110946114,57.96
164,F,2,Salud,Concertado,11.42,12.96,11.43,47.65,24.92,42.15,68.98,0.65,68.2,11.37,44.29,76.0,Medio,Financiamiento_familiar,Bajo,15.35,Sin deuda,Impuntual,54.1,66.53,58.22,47.66,82.85,27.99,2.58,0.0,0,50.200139361982956,41.467097948500644,24.92
165,M,1,Ciencias,Publico,8.13,10.1,2.23,6.45,62.63,4.57,71.92,18.8,0.0,29.94,29.38,62.22,Medio,Beca_total,Bajo,3.1,Sin deuda,Impuntual,43.11,58.09,77.1,76.36,78.83,53.3,1.23,8.51,0,10.476383187471901,100.0,62.63
166,F,1,Ciencias,Privado,4.72,2.28,1.27,75.17,35.41,8.84,47.2,0.25,100.0,5.02,30.04,49.51,Bajo,Financiamiento_familiar,Bajo,10.33,Sin deuda,Puntual,63.0,33.64,25.85,25.83,25.9,45.62,1.74,40.51,1,95.0,30.731339689175353,35.41
167,M,2,Ciencias_Sociales,Privado,19.73,20.0,16.37,60.41,38.82,17.55,58.09,18.29,0.0,22.17,49.03,85.99,Muy_bajo,Pago_directo,Bajo,6.59,Con deuda,Puntual,16.68,89.46,54.92,48.08,70.87,32.47,6.92,80.15,0,15.81648457867738,95.64907763607872,38.82
168,M,1,Ciencias,Publico,13.19,13.06,3.42,46.93,62.23,37.15,80.0,21.44,0.0,81.6,57.49,53.93,Medio,Beca_parcial,Bajo,21.31,Sin deuda,Puntual,63.63,71.18,75.89,99.2,21.49,38.48,2.89,32.52,0,43.23332203774884,97.35309498907628,62.23
169,M,2,Ingenieria,Publico,19.4,20.0,14.78,66.28,30.59,34.66,69.8,10.39,72.68,32.83,65.26,95.61,Medio,Pago_directo,Bajo,0.97,Con deuda,Puntual,39.52,91.25,49.28,68.67,4.03,14.32,1.69,56.8,0,13.127806946722991,74.4864423566918,30.59
170,F,2,Negocios,Publico,15.87,14.01,9.8,6.41,35.45,63.98,80.0,12.85,0.0,3.84,36.81,87.83,Bajo,Financiamiento_familiar,Bajo,21.93,Sin deuda,Impuntual,43.07,81.55,64.93,84.14,20.11,24.4,1.64,4.9,0,9.226698171302006,69.91497298578966,35.45
171,F,1,Salud,Concertado,4.01,3.49,1.4,38.15,30.1,59.16,80.0,11.45,22.28,29.22,35.03,42.97,Medio,Financiamiento_familiar,Muy_bajo,19.99,Sin deuda,Impuntual,42.92,32.87,34.4,41.48,17.86,75.65,5.32,7.24,0,95.0,70.07516530737496,30.1
172,M,7,Ciencias,Privado,20.0,18.86,17.2,50.41,29.39,34.11,68.29,9.34,34.17,98.14,58.29,82.57,Bajo,Credito,Bajo,7.14,Con deuda,Puntual,23.7,92.44,63.88,76.79,33.77,14.73,6.13,64.18,0,11.335558159548198,91.03415753013728,29.39
173,F,1,Ciencias,Concertado,11.82,10.78,4.45,66.29,42.08,26.7,69.63,21.3,12.76,62.97,31.98,58.86,Medio,Beca_parcial,Bajo,18.94,Sin deuda,Impuntual,44.09,51.31,15.39,4.05,41.84,60.34,2.54,0.0,0,73.03403143208281,89.88011486239861,42.08
174,M,4,Negocios,Publico,20.0,18.12,15.47,62.68,64.7,25.32,80.0,21.45,3.47,41.62,49.3,89.33,Muy_bajo,Beca_parcial,Bajo,0.75,Con deuda,Puntual,19.77,83.23,23.86,12.29,50.85,14.86,1.13,30.64,0,25.15729137597474,100.0,64.7
175,F,3,Negocios,Concertado,7.97,9.5,3.04,22.17,28.94,61.92,80.0,8.06,22.04,16.65,46.77,60.51,Medio,Beca_total,Bajo,23.2,Sin deuda,Puntual,64.53,46.86,28.52,20.31,47.68,38.86,2.34,8.49,0,39.85599537622707,58.48838093702492,28.94
176,M,8,Ciencias_Sociales,Publico,17.01,14.56,15.37,75.27,41.94,4.17,49.5,14.76,46.42,98.62,70.91,82.0,Bajo,Beca_parcial,Bajo,12.64,Con deuda,Impuntual,7.9,79.18,36.26,40.2,27.07,32.69,1.34,25.99,0,31.231553526384626,81.22905382873917,41.94
177,F,1,Ingenieria,Concertado,5.54,4.6,0.24,9.95,53.66,1.03,56.44,22.25,0.0,77.08,34.02,50.86,Bajo,Financiamiento_familiar,Muy_bajo,7.28,Sin deuda,Puntual,63.08,44.99,60.08,84.57,2.92,58.17,1.62,61.83,0,27.507022424058608,100.0,53.66
